Question,Answer
die Diskussion,discussion
doch,"after all, that's not true, nevertheless"
der Doktor,doctor
doppelt,double
Doppel-,double
das Dorf,village
dort,there
dorthin,there
die Dose,can
draußen,outside
drehen,"to turn, rotate"
dringend,urgent
drin,"indoor, inside"
die Drogerie,pharmacist
drüben,over there
drucken,to print
der Drucker,printer
drückenücktückteückt,"to press, pinch, keep down, oppress"
der Druck (Sg.),pressure
dumm,dumb
dunkel,dark
dünn,thin
durch,through
durcheinander,"in a mess, confused"
die Durchsage,announcement (radio)
durchschnittlich,on average
dürfen… dürfen,to be allowed to
der Durst (Sg.),thirst
duschen,to shower
die Dusche,shower
die DVD,DVD
eben,"exactly, just, level, smooth"
ebenfalls,likewise
ebenso,just as
echt,"real, really"
die EC-Karte,EC card (bank card)
Karte,map
die Ecke,corner
egal,all the same
die Ehe,marrige
die Ehefrau,wife
der Ehegatte,spouse
das Ehepaar,married couple
eher,"sooner, rather, more"
die Ehre (Sg.),honor
das Ei,egg
eigen,"own, peculiar, particular"
eigentlich,"actually, real, actual"
sich eignen,to be suited
eilen,to hurry
die Eile (Sg.),haste
eilig,"hasty, hurry"
ein,a
die Einbahnstraße,one way street
einbrechen,to break in
der Einbrecher,burglar
der Einbruch,break in
eindeutig,clearly
der Eindruck,impression
einerseits,on one hand
einfach,single
die Einfahrt,"driving in, entrance, slip road"
einfallen,"to fall in, collapse"
der Einfall,"incidence, idea"
der Einfluss,influence
die Einführung,introduction
der Eingang,entrance
einig,several
einigen,to agree on something
einkaufen,to shop
der Einkauf,shopping
das Einkommen,income
einladen,to invite
die Einladung,invitation
einmal,once
einnehmen,"to take, take up"
die Einnahme,"revenue, takings, income"
einpacken,to pack
einrichten,"to establish, set up, furnish"
die Einrichtung,"furnishings, organisation, equipment"
einsam,"lonely, solitary"
einschalten,to turn on
einschließlich,inclusive
das Einschreiben,registered mail/ post
einsetzen,"to put, set, install"
einsteigen,"to board, get in"
einstellen,"to employ, take on, adjust"
eintragen,"to enter, put one's name down"
eintreten,"to enter, occur"
der Eintritt,"admission, entrance"
einverstanden,agreed
der Einwohner,inhabitant
einzahlen,to pay in
einzeln,"single, odd (from a pair)"
Einzel-,only-
die Einzelheit,"particular, detail"
einzig,"only, unique"
einziehen,"to move in, draw in, take in"
das Eis (Sg.),ice cream
das Eisen,iron
die Eisenbahn,railway
elegant,elegant
elektrisch,electrical
Elektro-,electric
elektronisch,electronic
die Eltern (Pl.),parents
der Elternabend,parents evening
der Elternbeirat,parent council
die E-Mail,e mail
empfangen,to receive
der Empfang,reception
empfehlen,to recommend
die Empfehlung,recommendation
enden,to end
das Ende,end
endgültig,"final, definite"
endlich,finally
die Energie,energy
eng,tight
der Enkel,grandchild
entdecken,to discover
entfernt,"away, remote"
die Entfernung,distance
entgegenkommen,"to come towards, approach"
enthalten,to contain
entlang,along
entlassen,"to dismiss, discharge"
entscheiden,to decide
die Entscheidung,decision
sich entschließen,"to make up one's mind, to decide"
entschlossen sein,to be determined
entschuldigen,to apologise
die Entschuldigung,apology
entsorgen,"get rid of rubbish, throw away rubbish from a town"
entspannend,relaxing
entstehen,"to arise, result"
enttäuschen,to disappoint
die Enttäuschung,disappointment
entweder ... oder,either ... or
entwickeln,develop
die Entwicklung,development
die Erde,earth
das Erdgeschoss,ground floor
das Ereignis,event
erfahren,"to learn, find out, experience"
die Erfahrung,experience
erfinden,to invent
die Erfindung,invention
der Erfolg,success
erfolgreich,successful
erfordern,to require
erforderlich,required
erfüllenülltüllteüllt,to fulfil
ergänzen,"to supplement, complete"
das Ergebnis,result
erhalten,"to preserve, maintain, receive"
erhöhen,"to increase, raise"
die Erhöhung,increase
sich erholen,to recover
die Erholung,"rest, relaxation, recovery"
erinnern,to remember
die Erinnerung,memory
sich erkälten,to catch a cold
erkältet sein,have a cold
erkennen,to recognise
erklären,to explain
die Erklärung,"explanation, declaration"
erkundigen,to inquire (about)
erlauben,to allow
die Erlaubnis,permission
erleben,"to experience, live through"
das Erlebnis,experience
erledigen,"to take care of, deal with"
erleichtern,"to make easier, lighten"
die Ermäßigung,reduction
ernähren,"to feed, nourish"
die Ernährung,nourishment
ernst,serious
eröffnen,to open
die Eröffnung,opening
erreichen,to reach
der Ersatz (Sg.),replacement
das Ersatzteil,spare part
erschöpft,exhausted
erschrecken,"to scare, schock"
ersetzen,to replace
erst,first
erst-,first
erstellen,"to erect, build"
der Erwachsene,adult
erwarten,to expect
erzählen,to tell
erziehen,"to bring up, raise"
die Erziehung,"up bringing, education"
es,it
essen,to eat
das Essen,food
der Essig,vinegar
etwa,about
etwas,something
eventuell,"possibly, perhaps"
ewig,eternally
der Experte,expert
der Export,export
extra,extra
extrem,extreme
die Fabrik,factory
das Fach,"compartment, field of expertise, subject"
der Fachmann,expert
die Fachleute (Pl.),experts
die Fähre,ferry
fahren,to drive
die Fahrbahn,"carriageway, roadway"
"der Fahrer,",driver
die Fahrkarte,ticket
der Fahrplan,timetable
das Fahrrad,bicycle
die Fahrschule,driving school
das Fahrzeug,vehicle
fair,fair
fallen,to fall
der Fall,case
fällig,due
falls,in case
falsch,wrong
die Familie,family
der Familienstand,marital status
der Fan,"fan (sport, etc.)"
fangen,to catch
die Fantasie,fantasy
die Farbe,colour
farbig,colourful
fast,nearly
faul,lazy
faxen,to fax
das Fax,fax
fehlen,"to be wanting, missing, absent"
"der Fehler,",mistake
feiern,to celebrate
die Feier,celebration
der Feierabend,end of the working day
der Feiertag,public holiday
"das Fenster,",window
die Ferien (Pl.),holidays
die Fernbedienung,remote control
fernsehen,to watch television
das Fernsehen (Sg.),television
der Fernseher,television
fertig,ready
fest,"fixed, firm, solid, stong"
das Fest,"celebration, festival, party"
die Festplatte,hard disk
festhalten,"to seize, hold fast"
festlegen,"commit, set, establish"
festnehmen,"to capture, arrest"
das Festnetz,landline
festsetzen,"to fix, settle"
feststellen,"to establish, remark, lock"
fett,fat
das Fett,fat
feucht,damp
das Feuer,fire
das Feuerzeug?,lighter
die Feuerwehr,fire brigade
das Fieber (Sg.),"fever, temperature"
die Figur,figure
der Film,film
finanzieren,"to finance, be financed"
finanziell,financial
finden,to find
der Finger,finger
die Firma,firm
der Fisch,fish
fit,fit
die Fitness (Sg.),fitness
flach,flat
die Fläche,area
die Flasche,bottle
der Fleck,"stain, patch"
das Fleisch (Sg.),meat
fleißig,"diligent, industrious"
flexibel,flexible
fliegen,to fly
fliehen,to flee
die Flucht,flight
fließen,to flow
fließend,fluent
der Flug,flight
der Flughafen,airport
das Flugzeug,airplane
der Flur,hallway
der Fluss,river
die Flüssigkeit,fluid
folgen,to follow
die Folge,episode
folgend,following
fordern,to demand
die Forderung,demand
fördern,"to promote, help"
die Förderung,promotion
die Form,shape
das Formular,formular
die Fortbildung,further education
der Fortschritt,progress
fortsetzen,to continue
die Fortsetzung,"continuation, follow up"
fotografieren,to photograph
das Foto,photo
der Fotoapparat,camera
die Fotografie,photography
fragen,to ask
die Frage,question
die Frau,woman
frech,cheeky
frei,free
die Freiheit,freedom
die Freizeit,freetime
freiwillig,voluntary
fremd,foreign
die Fremdsprache,foreign language
fressen,to eat (for animals)
sich freuen,to be glad
die Freude,pleasure
der Freund,friend
freundlich,friendly
frisch,fresh
der Friseur,hairdresser
die Frist,deadline
befristet,"limited, temporary"
froh,"happy, glad"
die Frucht,fruit
früh,early
früher/früher-,"earlier, in former times"
frühstückenühstücktühstückteühstückt,to have breakfast
das Frühstück,breakfast
fühlenühltühlteühlt,feel
führenührtührteührt,to lead
der Führerschein,driving license
die Führung,"guide, lead, tour"
das Fundbüro,lost property office
funktionieren,to function
für,for
furchtbar,terrible
der Fuß,foot
der Fußball,football
der Fußgänger,pedestrian
die Fußgängerzone,pedestrian area
die Gabel,fork
der Gang,"walk, passage, aisle"
ganz,"complete, completely"
gar,"quite, at all"
die Garage,garage
garantieren,to guarantee
die Garantie,guarantee
die Garderobe,cloakroom
der Garten,garden
das Gas,gas
der Gast,guest
die Gaststätte,restaurant
das Gebäude,building
geben,to give
das Gebäck,busicuits
geboren werden,to be born
gebrauchen,to use
die Gebrauchsanweisung,instructions
die Gebühr,fee
die Geburt,birth
der Geburtstag,birthday
die Geduld (Sg.),patience
geehrt,"Dear (Sir or Madam, in letters)"
geeignet sein,be suitable
die Gefahr,danger
die Lebensgefahr,risk of death
gefährlich,dangerous
gefallen,to like (pp. fallen)
gefallen lassen,"like, favor, please"
das Gefängnis,prison
das Gefühl,feeling
gegen,"against, at"
die Gegend,"area, district"
der Gegenstand,object
gegenüber,opposite
das Gehalt,salary
geheim,secret
das Geheimnis,secret
gehen,to go
gehören,to belong to
gelb,yellow
das Geld,money
das Taschengeld,pocket money
die Gelegenheit,opportunity
gelingen,to succeed
gelten,to be valid
gemeinsam,together
das Gemüse,vegetables
gemütlich,cosy
genau,exactly
genauso,exactly like
genug,enough
die Genehmigung,approval
genügenügtügteügt,to be enough
das Gepäck (Sg.),"luggage, baggage"
gerade,straight
geradeaus,straight ahead
das Gerät,device
gerecht,"just, fair"
das Gericht,court
die Gerichtsverhandlung,trial
gering,"slight, small, low, short"
gern/gerne,with pleasure
gesamt-/Gesamt-,all
das Geschäft,"business, shop"
die Geschäftsleute (Pl.),business people
geschehen,to happen
das Geschenk,present
die Geschichte,history
das Geschlecht,"sex, gender"
geschieden,divorced
das Geschirr,"crockerz, pots and pans"
der Geschmack,taste
die Geschwindigkeit,speed
die Geschwindigkeitsbeschränkung,speed limit
die Geschwister (Pl.),sisters
die Gesellschaft,society
das Gesetz,law
das Gesicht,face
gespannt,"tense, strained, curious, eager"
das Gespräch,"conversation, discussion"
gestern,yesterday
gesund,healthy
die Gesundheit,health
das Getränk,drink
getrennt leben,to live separate lives
die Gewerkschaft,union
das Gewicht,weight
gewinnen,to win
der Gewinn,profit
das Gewissen,conscience
das Gewitter,thunderstorm
gewöhnen,"to accustom, get used to"
gewöhnlich,"usual, ordinary, common"
gewohnt,usual
das Gewürz,spice
gießen,to water
das Gift,poison
giftig,toxic
die Gitarre,guitar
das Glas,glass
glatt,"smooth, slipperz"
glauben,to believe
gleich,"equal, identical, the same"
gleichfalls,likewise
gleichberechtigt,with equal rights
gleichzeitig,at the same time
das Gleis,platform
das Glück (Sg.),luck
glücklich,"happy, happily"
der Glückwunsch,"congratulations, best wishes"
das Gold (Sg.),gold
der Gott,god
das Gras,grass
gratulieren,to congratulate
gratis,free
grau,grey
greifen,"to grasp, seize, grab"
die Grenze,border
grillen,to grill (BBQ)
der Grill,grill
die Grippe,flu
groß,big
Groß-,grand-
die Großstadt,big city
die Größe,size
grün,green
gründenündetündeteündet,to found
der Grund,ground
gründlich,thorough
das Grundstück,"property, land"
die Gruppe,group
grüßenüßtüßteüßt,to greet
der Gruß,greeting
gucken,to look
gültig,valid
günstig,good value
gut,good
das Haar,hair
haben,to have
das Hackfleisch (Sg.),minced meat
der Hafen,habour
das Hähnchen,tiny male chicken
halb,half
die Halbpension,half board
halbtags,half day
die Hälfte,half
die Halle,hall
hallo,hello
der Hals,throat
halt,stop
haltbar,"durable, non-perishable"
halten,to keep
der Halt,stop
die Haltestelle,stop(ping place)
der Hammer,hammer
die Hand,the hand
das Handtuch,towel
handeln,"to deal, trade"
der Handel (Sg.),trade
der Händler,"seller, dealer"
der Handwerker,"craftsman, workman, artisan"
das Handy,cell phone
hängen,to hang
hart,hard
hassen,to hate
hässlich,horrible
häufig,"frequent, frequently"
die Hauptstadt,capital city
der Hauptbahnhof,main railway station
das Haus,haus
die Hausaufgabe,homework
die Hausfrau,housewife
der Hausmann,househusband
der Haushalt,household
der Hausmeister,caretaker
die Haut,skin
heben,to lift
das Heft,exercise book
das Heim,home
die Heimat (Sg.),home place
heimlich,secretly
das Heimweh (Sg.),home sickness
heiraten,to marry
heiß,hot
heißen,to be called
heizen,to heat
die Heizung,heating
helfen,to help
hell,light
das Hemd,shirt
her,"direction from, to"
heraus-,find out
der Herd,stove
herein-,"in (here), here"
die Herkunft,origin
das Herkunftsland,country of origin
der Herr,"man, gentleman"
herstellen,"to make, manufacture"
der Hersteller,manufacturer
herunter-,download
(he)runterfahren,shut down
das Herz,heart
herzlich,cordial
heute,today
hier,here
hierher,"this way, here"
die Hilfe,help
der Himmel,sky
hinten,"behind, at the back"
hinter/hinter-,behind
hinterher,"afterwards, after"
hinterlassen,to leave
hinweisen,"to point to, to refer to"
historisch,historical
der Hit,"hit (song, etc.)"
die Hitze (Sg.),heat
das Hobby,hobby
hoch,high
die Höhe,hight
höchstens,at the most
die Hochzeit,wedding
der Hof,yard
der Bauernhof,farm
hoffen,to hope
hoffentlich,hopefully
die Hoffnung,hope
höflich,polite
holen,to get
das Holz,wood
der Honig,honey
hören,to hear
die Hose,trousers
das Hotel,hotel
hübsch,"pretty, nice"
das Hühnchen,tiny female chicken
der Humor (Sg.),humor
der Hund,dog
der Hunger (Sg.),hunger
hungrig,hungry
hupen,to hoot
husten,to cough
der Husten,the cough
der Hut,hat
der ICE,intercity express train
ideal,ideal
die Idee,idea
illegal,illegal
immer,"always, still"
der Import,import
in,"in, into"
impfen,vaccinate
die Industrie,industry
das Industriegebiet,industrial area
die Infektion,infection
informieren,to inform
die Information,information
der Ingenieur,engineer
der Inhalt,contents
inklusive,"inclusive, inclusive of"
innen,inside
die Innenstadt,downtown
inner-,"inner, internal"
innerhalb,"within, inside"
die Insel,island
insgesamt,"a total of, total"
installieren,to install
das Institut,institute
das Instrument,instrument
integrieren,to integrate
die Integration,integration
der Integrationskurs,integration course
intelligent,intelligent
die Intelligenz,intelligence
intensiv,intensiv
der Intensivkurs,intensive course
interessieren,to interest
interessant,interesting
das Interesse,interest
interkulturell,intercultural
international,international
das Internet (Sg.),internet
der Internetanschluss,internet connection
das Internetcafé,internet cafe
das Interview,interview
inzwischen,meanwhile
irgend-/irgendein-,"some, any"
irgendwann,sometime
irren,be wrong
isolieren,isolate
ja,yes
die Jacke,jacket
die Jahreskarte,annual pass
der Jazz (Sg.),jazz
je,"ever, each, every"
je ... desto ...,the ... the
die Jeans (Pl.),jeans
jeder,every
jederzeit,at any time
jedes Mal,every time
jemals,ever
jemand,someone
jetzt,now
jeweils,each time
jobben,"to work, have a job"
der Job,job
joggen,to jog
der Journalist,journalist
die Jugend (Sg.),youth
das Jugendamt,youth welfare office
der Jugendliche,"young person, teenager"
jung,young
der Junge,boy
die Kabine,"cabin, cubicle"
der Kaffee,coffee
der Kalender,calendar
kalt,cold
die Kälte (Sg.),"coldness, cold (weather)"
die Kamera,camera
kämpfen,to fight
der Kampf,"struggle, fight"
der Kanal,canal
die Kanne,pot
die Kantine,cantine
das Kapitel,chapter
kaputt,broken
kaputtgehen,to get broken
kaputtmachen,to break
die Karriere,career
die Karte,"card, menu, ticket, map"
die Kartoffel,potato
der Käse,cheese
die Kasse,"till, cash register"
der Kasten,"case, box, crate"
der Katalog,catalogue
die Katastrophe,catastrophe
die Katze,cat
(sich etwas) kaufen,to buy
der Kauf,buy
der Käufer,buyer
das Kaufhaus,"department store, shopping center"
kaum,"hardly, scarcely"
kein,"no, not"
der Keller,cellar
der Kellner,waiter
kennen,to know
die Kenntnisse (Pl.),knowledge
kennenlernen,"to get to know, meet"
das Kennzeichen,number plate
die Kerze,candle
die Kette,chain
das Kind,child
der Kindergarten,Nursery school
der Kinderwagen,stroller
die Kindheit,childhood
die Kindertagesstätte,day care center
das Kino,cinema
der Kiosk,kiosk
die Kirche,church
das Kissen,pillow
klappen,to work (well)
klar,clear
klären,to clarrify
die Klasse,class
die Klassenarbeit,classwork
klasse,"class, great"
das Klavier,piano
kleben,to stick
das Kleid,dress
die Kleidung (Pl.),clothers
klein,small
klicken,to click
der Klick,click
das Klima,climate
die Klimaanlage,air conditioner
klingeln,to ring
die Klingel,door bell
klingen,sound
die Klinik,clinic
klopfen,to knock
der Kloß,dumpling
knapp,"tight, scarce, short, just"
die Kneipe,pub
das Knie,knee
der Knochen,bones
der Knopf,button
der Koch,cook
kochen,to cook
der Koffer,suitcase
der Kofferraum,trunk
der Kollege,colleague
komisch,"strange, funny, odd"
kommen,to come
die Kommunikation,communication
komplett,completely
kompliziert,complicated
der Kompromiss,compromise
der König,king
die Konkurrenz,competition
können,to be able to
das Konsulat,consulate
der Kontakt,contact
das Konto,account
das Girokonto,current account
kontrollieren,to control
die Kontrolle,control
konzentrieren,to concentrate
das Konzert,concert
der Kopf,head
kopieren,to copy
die Kopie,copy
der Körper,body
körperlich,physical
korrekt,correct
korrigieren,to correct
die Kosmetik (Sg.),cosmetics
kosten,"to cost, taste"
die Kosten (Pl.),costs
kostenlos,free
das Kostüm,"costume, suit"
die Kraft,strength
kräftig,strong
das Kraftfahrzeug,motor vehicle
krank,ill
krankschreiben,sick leave
krankmelden,report sick
der Kranke,"sick-person, invalid"
das Krankenhaus,hospital
die Krankenkasse,health insurance
